timestamp,n_seen,event_type,ensemble_ids,shadow_id,promoted_id,evicted_id,district
2008-01-01 10:00:00,2498,warning,[0],1.0,,,Global
2008-01-01 15:00:00,2498,warning,[0],1.0,,,West
2008-01-01 15:00:00,2498,warning,[0],1.0,,,South
2008-01-01 17:00:00,6498,drift,[0],,,,Global
2008-01-01 17:00:00,6498,promotion,"[0, 1]",,1.0,,Global
2008-01-01 18:00:00,7498,warning,"[0, 1]",2.0,,,Global
2008-01-02 09:00:00,11498,drift,"[0, 1]",,,,Global
2008-01-02 09:00:00,11498,promotion,"[0, 1, 2]",,2.0,,Global
2008-01-02 10:00:00,12498,warning,"[0, 1, 2]",3.0,,,Global
2008-01-02 13:00:00,6498,drift,[0],,,,West
2008-01-02 13:00:00,6498,promotion,"[0, 1]",,1.0,,West
2008-01-02 14:00:00,6498,drift,[0],,,,South
2008-01-02 14:00:00,6498,promotion,"[0, 1]",,1.0,,South
2008-01-02 17:00:00,7498,warning,"[0, 1]",2.0,,,West
2008-01-02 17:00:00,16498,drift,"[0, 1, 2]",,,,Global
2008-01-02 17:00:00,16498,promotion,"[0, 1, 2, 3]",,3.0,,Global
2008-01-02 18:00:00,7498,warning,"[0, 1]",2.0,,,South
2008-01-02 19:00:00,17498,warning,"[0, 1, 2, 3]",4.0,,,Global
2008-01-03 07:00:00,2498,warning,[0],1.0,,,Midwest
2008-01-03 09:00:00,21498,drift,"[0, 1, 2, 3]",,,,Global
2008-01-03 09:00:00,21498,promotion,"[0, 1, 2, 3, 4]",,4.0,,Global
2008-01-03 11:00:00,22498,warning,"[0, 1, 2, 3, 4]",5.0,,,Global
2008-01-03 15:00:00,11498,drift,"[0, 1]",,,,West
2008-01-03 15:00:00,11498,promotion,"[0, 1, 2]",,2.0,,West
2008-01-03 16:00:00,11498,drift,"[0, 1]",,,,South
2008-01-03 16:00:00,11498,promotion,"[0, 1, 2]",,2.0,,South
2008-01-03 17:00:00,26498,drift,"[0, 1, 2, 3, 4]",,,,Global
2008-01-03 17:00:00,26498,promotion,"[0, 1, 3, 4, 5]",,5.0,2.0,Global
2008-01-03 19:00:00,12498,warning,"[0, 1, 2]",3.0,,,West
2008-01-03 19:00:00,27498,warning,"[0, 1, 3, 4, 5]",6.0,,,Global
2008-01-03 20:00:00,12498,warning,"[0, 1, 2]",3.0,,,South
2008-01-04 09:00:00,31498,drift,"[0, 1, 3, 4, 5]",,,,Global
2008-01-04 09:00:00,31498,promotion,"[0, 1, 4, 5, 6]",,6.0,3.0,Global
2008-01-04 11:00:00,32498,warning,"[0, 1, 4, 5, 6]",7.0,,,Global
2008-01-04 18:00:00,36498,drift,"[0, 1, 4, 5, 6]",,,,Global
2008-01-04 18:00:00,36498,promotion,"[0, 1, 4, 5, 7]",,7.0,6.0,Global
2008-01-04 18:00:00,16498,drift,"[0, 1, 2]",,,,South
2008-01-04 18:00:00,16498,promotion,"[0, 1, 2, 3]",,3.0,,South
2008-01-04 18:00:00,16498,drift,"[0, 1, 2]",,,,West
2008-01-04 18:00:00,16498,promotion,"[0, 1, 2, 3]",,3.0,,West
2008-01-04 19:00:00,37498,warning,"[0, 1, 4, 5, 7]",8.0,,,Global
2008-01-05 06:00:00,17498,warning,"[0, 1, 2, 3]",4.0,,,South
2008-01-05 06:00:00,17498,warning,"[0, 1, 2, 3]",4.0,,,West
2008-01-05 10:00:00,41498,drift,"[0, 1, 4, 5, 7]",,,,Global
2008-01-05 10:00:00,41498,promotion,"[0, 1, 4, 5, 8]",,8.0,7.0,Global
2008-01-05 12:00:00,42498,warning,"[0, 1, 4, 5, 8]",9.0,,,Global
2008-01-05 20:00:00,46498,drift,"[0, 1, 4, 5, 8]",,,,Global
2008-01-05 20:00:00,46498,promotion,"[0, 1, 4, 5, 9]",,9.0,8.0,Global
2008-01-06 06:00:00,47498,warning,"[0, 1, 4, 5, 9]",10.0,,,Global
2008-01-06 07:00:00,21498,drift,"[0, 1, 2, 3]",,,,West
2008-01-06 07:00:00,21498,promotion,"[0, 1, 2, 3, 4]",,4.0,,West
2008-01-06 07:00:00,21498,drift,"[0, 1, 2, 3]",,,,South
2008-01-06 07:00:00,21498,promotion,"[0, 1, 2, 3, 4]",,4.0,,South
2008-01-06 11:00:00,22498,warning,"[0, 1, 2, 3, 4]",5.0,,,West
2008-01-06 11:00:00,22498,warning,"[0, 1, 2, 3, 4]",5.0,,,South
2008-01-06 11:00:00,6498,drift,[0],,,,Midwest
2008-01-06 11:00:00,6498,promotion,"[0, 1]",,1.0,,Midwest
2008-01-06 13:00:00,51498,drift,"[0, 1, 4, 5, 9]",,,,Global
2008-01-06 13:00:00,51498,promotion,"[0, 1, 4, 5, 10]",,10.0,9.0,Global
2008-01-06 14:00:00,52498,warning,"[0, 1, 4, 5, 10]",11.0,,,Global
2008-01-07 06:00:00,56498,drift,"[0, 1, 4, 5, 10]",,,,Global
2008-01-07 06:00:00,56498,promotion,"[0, 1, 4, 5, 11]",,11.0,10.0,Global
2008-01-07 07:00:00,57498,warning,"[0, 1, 4, 5, 11]",12.0,,,Global
2008-01-07 09:00:00,7498,warning,"[0, 1]",2.0,,,Midwest
2008-01-07 09:00:00,26498,drift,"[0, 1, 2, 3, 4]",,,,West
2008-01-07 09:00:00,26498,promotion,"[0, 1, 2, 4, 5]",,5.0,3.0,West
2008-01-07 10:00:00,26498,drift,"[0, 1, 2, 3, 4]",,,,South
2008-01-07 10:00:00,26498,promotion,"[0, 1, 3, 4, 5]",,5.0,2.0,South
2008-01-07 13:00:00,27498,warning,"[0, 1, 2, 4, 5]",6.0,,,West
2008-01-07 13:00:00,27498,warning,"[0, 1, 3, 4, 5]",6.0,,,South
2008-01-07 13:00:00,61498,drift,"[0, 1, 4, 5, 11]",,,,Global
2008-01-07 13:00:00,61498,promotion,"[0, 1, 4, 5, 12]",,12.0,11.0,Global
2008-01-07 15:00:00,62498,warning,"[0, 1, 4, 5, 12]",13.0,,,Global
2008-01-07 18:00:00,2498,warning,[0],1.0,,,Northeast
2008-01-08 07:00:00,66498,drift,"[0, 1, 4, 5, 12]",,,,Global
2008-01-08 07:00:00,66498,promotion,"[0, 1, 4, 5, 13]",,13.0,12.0,Global
2008-01-08 08:00:00,67498,warning,"[0, 1, 4, 5, 13]",14.0,,,Global
2008-01-08 12:00:00,31498,drift,"[0, 1, 2, 4, 5]",,,,West
2008-01-08 12:00:00,31498,promotion,"[0, 1, 4, 5, 6]",,6.0,2.0,West
2008-01-08 12:00:00,31498,drift,"[0, 1, 3, 4, 5]",,,,South
2008-01-08 12:00:00,31498,promotion,"[0, 3, 4, 5, 6]",,6.0,1.0,South
2008-01-08 15:00:00,71498,drift,"[0, 1, 4, 5, 13]",,,,Global
2008-01-08 15:00:00,71498,promotion,"[0, 1, 4, 5, 14]",,14.0,13.0,Global
2008-01-08 15:00:00,32498,warning,"[0, 1, 4, 5, 6]",7.0,,,West
2008-01-08 16:00:00,32498,warning,"[0, 3, 4, 5, 6]",7.0,,,South
2008-01-08 17:00:00,72498,warning,"[0, 1, 4, 5, 14]",15.0,,,Global
2008-01-09 08:00:00,76498,drift,"[0, 1, 4, 5, 14]",,,,Global
2008-01-09 08:00:00,76498,promotion,"[0, 1, 4, 5, 15]",,15.0,14.0,Global
2008-01-09 10:00:00,77498,warning,"[0, 1, 4, 5, 15]",16.0,,,Global
2008-01-09 14:00:00,36498,drift,"[0, 1, 4, 5, 6]",,,,West
2008-01-09 14:00:00,36498,promotion,"[0, 1, 4, 5, 7]",,7.0,6.0,West
2008-01-09 15:00:00,36498,drift,"[0, 3, 4, 5, 6]",,,,South
2008-01-09 15:00:00,36498,promotion,"[0, 3, 5, 6, 7]",,7.0,4.0,South
2008-01-09 17:00:00,81498,drift,"[0, 1, 4, 5, 15]",,,,Global
2008-01-09 17:00:00,81498,promotion,"[0, 1, 4, 5, 16]",,16.0,15.0,Global
2008-01-09 18:00:00,37498,warning,"[0, 1, 4, 5, 7]",8.0,,,West
2008-01-09 18:00:00,37498,warning,"[0, 3, 5, 6, 7]",8.0,,,South
2008-01-09 19:00:00,82498,warning,"[0, 1, 4, 5, 16]",17.0,,,Global
2008-01-10 10:00:00,86498,drift,"[0, 1, 4, 5, 16]",,,,Global
2008-01-10 10:00:00,86498,promotion,"[0, 1, 5, 16, 17]",,17.0,4.0,Global
2008-01-10 11:00:00,87498,warning,"[0, 1, 5, 16, 17]",18.0,,,Global
2008-01-10 12:00:00,11498,drift,"[0, 1]",,,,Midwest
2008-01-10 12:00:00,11498,promotion,"[0, 1, 2]",,2.0,,Midwest
2008-01-10 17:00:00,41498,drift,"[0, 3, 5, 6, 7]",,,,South
2008-01-10 17:00:00,41498,promotion,"[0, 3, 5, 6, 8]",,8.0,7.0,South
2008-01-10 17:00:00,41498,drift,"[0, 1, 4, 5, 7]",,,,West
2008-01-10 17:00:00,41498,promotion,"[0, 1, 4, 5, 8]",,8.0,7.0,West
2008-01-10 18:00:00,91498,drift,"[0, 1, 5, 16, 17]",,,,Global
2008-01-10 18:00:00,91498,promotion,"[0, 1, 5, 16, 18]",,18.0,17.0,Global
2008-01-10 20:00:00,92498,warning,"[0, 1, 5, 16, 18]",19.0,,,Global
2008-01-10 21:00:00,42498,warning,"[0, 1, 4, 5, 8]",9.0,,,West
2008-01-10 22:00:00,42498,warning,"[0, 3, 5, 6, 8]",9.0,,,South
2008-01-11 08:00:00,12498,warning,"[0, 1, 2]",3.0,,,Midwest
2008-01-11 11:00:00,96498,drift,"[0, 1, 5, 16, 18]",,,,Global
2008-01-11 11:00:00,96498,promotion,"[0, 1, 5, 16, 19]",,19.0,18.0,Global
2008-01-11 12:00:00,97498,warning,"[0, 1, 5, 16, 19]",20.0,,,Global
2008-01-11 19:00:00,46498,drift,"[0, 3, 5, 6, 8]",,,,South
2008-01-11 19:00:00,46498,promotion,"[0, 3, 5, 6, 9]",,9.0,8.0,South
2008-01-11 19:00:00,46498,drift,"[0, 1, 4, 5, 8]",,,,West
2008-01-11 19:00:00,46498,promotion,"[0, 1, 4, 5, 9]",,9.0,8.0,West
2008-01-11 20:00:00,101498,drift,"[0, 1, 5, 16, 19]",,,,Global
2008-01-11 20:00:00,101498,promotion,"[0, 1, 5, 16, 20]",,20.0,19.0,Global
2008-01-12 06:00:00,102498,warning,"[0, 1, 5, 16, 20]",21.0,,,Global
2008-01-12 07:00:00,47498,warning,"[0, 1, 4, 5, 9]",10.0,,,West
2008-01-12 08:00:00,47498,warning,"[0, 3, 5, 6, 9]",10.0,,,South
2008-01-12 13:00:00,106498,drift,"[0, 1, 5, 16, 20]",,,,Global
2008-01-12 13:00:00,106498,promotion,"[0, 1, 5, 16, 21]",,21.0,20.0,Global
2008-01-12 15:00:00,107498,warning,"[0, 1, 5, 16, 21]",22.0,,,Global
2008-01-13 08:00:00,51498,drift,"[0, 1, 4, 5, 9]",,,,West
2008-01-13 08:00:00,51498,promotion,"[0, 1, 4, 5, 10]",,10.0,9.0,West
2008-01-13 08:00:00,111498,drift,"[0, 1, 5, 16, 21]",,,,Global
2008-01-13 08:00:00,111498,promotion,"[0, 1, 5, 16, 22]",,22.0,21.0,Global
2008-01-13 09:00:00,51498,drift,"[0, 3, 5, 6, 9]",,,,South
2008-01-13 09:00:00,51498,promotion,"[0, 3, 5, 6, 10]",,10.0,9.0,South
2008-01-13 10:00:00,112498,warning,"[0, 1, 5, 16, 22]",23.0,,,Global
2008-01-13 12:00:00,52498,warning,"[0, 1, 4, 5, 10]",11.0,,,West
2008-01-13 13:00:00,52498,warning,"[0, 3, 5, 6, 10]",11.0,,,South
2008-01-13 17:00:00,116498,drift,"[0, 1, 5, 16, 22]",,,,Global
2008-01-13 17:00:00,116498,promotion,"[0, 1, 5, 16, 23]",,23.0,22.0,Global
2008-01-13 19:00:00,117498,warning,"[0, 1, 5, 16, 23]",24.0,,,Global
2008-01-14 10:00:00,121498,drift,"[0, 1, 5, 16, 23]",,,,Global
2008-01-14 10:00:00,121498,promotion,"[0, 1, 5, 16, 24]",,24.0,23.0,Global
2008-01-14 11:00:00,56498,drift,"[0, 1, 4, 5, 10]",,,,West
2008-01-14 11:00:00,56498,promotion,"[0, 1, 4, 5, 11]",,11.0,10.0,West
2008-01-14 12:00:00,56498,drift,"[0, 3, 5, 6, 10]",,,,South
2008-01-14 12:00:00,56498,promotion,"[0, 3, 5, 6, 11]",,11.0,10.0,South
2008-01-14 12:00:00,16498,drift,"[0, 1, 2]",,,,Midwest
2008-01-14 12:00:00,16498,promotion,"[0, 1, 2, 3]",,3.0,,Midwest
2008-01-14 12:00:00,122498,warning,"[0, 1, 5, 16, 24]",25.0,,,Global
2008-01-14 14:00:00,57498,warning,"[0, 1, 4, 5, 11]",12.0,,,West
2008-01-14 15:00:00,57498,warning,"[0, 3, 5, 6, 11]",12.0,,,South
2008-01-14 19:00:00,126498,drift,"[0, 1, 5, 16, 24]",,,,Global
2008-01-14 19:00:00,126498,promotion,"[0, 1, 5, 16, 25]",,25.0,24.0,Global
2008-01-15 06:00:00,127498,warning,"[0, 1, 5, 16, 25]",26.0,,,Global
2008-01-15 07:00:00,17498,warning,"[0, 1, 2, 3]",4.0,,,Midwest
2008-01-15 12:00:00,131498,drift,"[0, 1, 5, 16, 25]",,,,Global
2008-01-15 12:00:00,131498,promotion,"[0, 1, 5, 16, 26]",,26.0,25.0,Global
2008-01-15 13:00:00,61498,drift,"[0, 1, 4, 5, 11]",,,,West
2008-01-15 13:00:00,61498,promotion,"[0, 1, 4, 5, 12]",,12.0,11.0,West
2008-01-15 14:00:00,132498,warning,"[0, 1, 5, 16, 26]",27.0,,,Global
2008-01-15 14:00:00,61498,drift,"[0, 3, 5, 6, 11]",,,,South
2008-01-15 14:00:00,61498,promotion,"[0, 3, 5, 6, 12]",,12.0,11.0,South
2008-01-15 17:00:00,62498,warning,"[0, 1, 4, 5, 12]",13.0,,,West
2008-01-15 18:00:00,62498,warning,"[0, 3, 5, 6, 12]",13.0,,,South
2008-01-16 06:00:00,136498,drift,"[0, 1, 5, 16, 26]",,,,Global
2008-01-16 06:00:00,136498,promotion,"[0, 1, 5, 16, 27]",,27.0,26.0,Global
2008-01-16 07:00:00,137498,warning,"[0, 1, 5, 16, 27]",28.0,,,Global
2008-01-16 14:00:00,141498,drift,"[0, 1, 5, 16, 27]",,,,Global
2008-01-16 14:00:00,141498,promotion,"[0, 1, 5, 16, 28]",,28.0,27.0,Global
2008-01-16 16:00:00,142498,warning,"[0, 1, 5, 16, 28]",29.0,,,Global
2008-01-16 16:00:00,66498,drift,"[0, 1, 4, 5, 12]",,,,West
