timestamp,n_seen,event_type,district
2008-01-01 08:00:00,1594,warning,Global
2008-01-01 11:00:00,3498,drift,Global
2008-01-01 12:00:00,3626,warning,Global
2008-01-01 12:00:00,1594,warning,West
2008-01-01 12:00:00,1594,warning,South
2008-01-01 15:00:00,5498,drift,Global
2008-01-01 15:00:00,5594,warning,Global
2008-01-01 18:00:00,7498,drift,Global
2008-01-01 18:00:00,7562,warning,Global
2008-01-02 06:00:00,9498,drift,Global
2008-01-02 06:00:00,9562,warning,Global
2008-01-02 09:00:00,11498,drift,Global
2008-01-02 09:00:00,11562,warning,Global
2008-01-02 10:00:00,5498,drift,West
2008-01-02 10:00:00,5594,warning,West
2008-01-02 11:00:00,5498,drift,South
2008-01-02 11:00:00,5562,warning,South
2008-01-02 11:00:00,1562,warning,Midwest
2008-01-02 12:00:00,13498,drift,Global
2008-01-02 12:00:00,13530,warning,Global
2008-01-02 15:00:00,15498,drift,Global
2008-01-02 16:00:00,15562,warning,Global
2008-01-02 18:00:00,2098,drift,Midwest
2008-01-02 19:00:00,2162,warning,Midwest
2008-01-02 19:00:00,17498,drift,Global
2008-01-02 19:00:00,17594,warning,Global
2008-01-03 06:00:00,19498,drift,Global
2008-01-03 06:00:00,19562,warning,Global
2008-01-03 08:00:00,9498,drift,West
2008-01-03 08:00:00,9594,warning,West
2008-01-03 09:00:00,21498,drift,Global
2008-01-03 09:00:00,9498,drift,South
2008-01-03 09:00:00,2698,drift,Midwest
2008-01-03 09:00:00,21626,warning,Global
2008-01-03 10:00:00,9626,warning,South
2008-01-03 10:00:00,2762,warning,Midwest
2008-01-03 12:00:00,23498,drift,Global
2008-01-03 13:00:00,23562,warning,Global
2008-01-03 16:00:00,25498,drift,Global
2008-01-03 16:00:00,25594,warning,Global
2008-01-03 16:00:00,3298,drift,Midwest
2008-01-03 18:00:00,3394,warning,Midwest
2008-01-03 19:00:00,27498,drift,Global
2008-01-03 19:00:00,27562,warning,Global
2008-01-04 06:00:00,13498,drift,West
2008-01-04 06:00:00,29498,drift,Global
2008-01-04 07:00:00,29562,warning,Global
2008-01-04 07:00:00,13594,warning,West
2008-01-04 08:00:00,13498,drift,South
2008-01-04 08:00:00,3898,drift,Midwest
2008-01-04 08:00:00,13626,warning,South
2008-01-04 09:00:00,3962,warning,Midwest
2008-01-04 09:00:00,31498,drift,Global
2008-01-04 09:00:00,31562,warning,Global
2008-01-04 13:00:00,33498,drift,Global
2008-01-04 13:00:00,33562,warning,Global
2008-01-04 15:00:00,4498,drift,Midwest
2008-01-04 16:00:00,35498,drift,Global
2008-01-04 16:00:00,35626,warning,Global
2008-01-04 17:00:00,4658,warning,Midwest
2008-01-04 19:00:00,37498,drift,Global
2008-01-04 19:00:00,37562,warning,Global
2008-01-05 06:00:00,5098,drift,Midwest
2008-01-05 06:00:00,17498,drift,South
2008-01-05 06:00:00,17498,drift,West
2008-01-05 07:00:00,17562,warning,West
2008-01-05 07:00:00,17658,warning,South
2008-01-05 07:00:00,39498,drift,Global
2008-01-05 07:00:00,39594,warning,Global
2008-01-05 08:00:00,1562,warning,Northeast
2008-01-05 08:00:00,5258,warning,Midwest
2008-01-05 10:00:00,41498,drift,Global
2008-01-05 10:00:00,41594,warning,Global
2008-01-05 14:00:00,43498,drift,Global
2008-01-05 14:00:00,43626,warning,Global
2008-01-05 14:00:00,5698,drift,Midwest
2008-01-05 15:00:00,5762,warning,Midwest
2008-01-05 18:00:00,45498,drift,Global
2008-01-05 18:00:00,45562,warning,Global
2008-01-06 06:00:00,47498,drift,Global
2008-01-06 06:00:00,47562,warning,Global
2008-01-06 07:00:00,21498,drift,West
2008-01-06 07:00:00,21562,warning,West
2008-01-06 07:00:00,21498,drift,South
2008-01-06 08:00:00,21562,warning,South
2008-01-06 08:00:00,6298,drift,Midwest
2008-01-06 09:00:00,6330,warning,Midwest
2008-01-06 09:00:00,49498,drift,Global
2008-01-06 09:00:00,49594,warning,Global
2008-01-06 10:00:00,1898,drift,Northeast
2008-01-06 13:00:00,51498,drift,Global
2008-01-06 13:00:00,51594,warning,Global
2008-01-06 13:00:00,1962,warning,Northeast
2008-01-06 16:00:00,53498,drift,Global
