timestamp,n_seen,event_type,district
2016-01-01 04:00:00,1658,warning,Manhattan
2016-01-01 19:00:00,4498,drift,Manhattan
2016-01-01 19:00:00,4562,warning,Manhattan
2016-01-02 13:00:00,7498,drift,Manhattan
2016-01-02 13:00:00,7626,warning,Manhattan
2016-01-02 15:00:00,1594,warning,Global
2016-01-02 22:00:00,10498,drift,Manhattan
2016-01-02 22:00:00,10594,warning,Manhattan
2016-01-02 23:00:00,1898,drift,Global
2016-01-03 01:00:00,1994,warning,Global
2016-01-03 09:00:00,2298,drift,Global
2016-01-03 10:00:00,2330,warning,Global
2016-01-03 13:00:00,13498,drift,Manhattan
2016-01-03 13:00:00,13626,warning,Manhattan
2016-01-03 19:00:00,2698,drift,Global
2016-01-03 20:00:00,2762,warning,Global
2016-01-04 05:00:00,16498,drift,Manhattan
2016-01-04 06:00:00,16594,warning,Manhattan
2016-01-04 07:00:00,3098,drift,Global
2016-01-04 11:00:00,3258,warning,Global
2016-01-04 16:00:00,19498,drift,Manhattan
2016-01-04 16:00:00,19594,warning,Manhattan
2016-01-04 18:00:00,3498,drift,Global
2016-01-04 19:00:00,3562,warning,Global
2016-01-05 04:00:00,3898,drift,Global
2016-01-05 06:00:00,3930,warning,Global
2016-01-05 07:00:00,22498,drift,Manhattan
2016-01-05 07:00:00,22626,warning,Manhattan
2016-01-05 16:00:00,25498,drift,Manhattan
2016-01-05 16:00:00,25626,warning,Manhattan
2016-01-05 17:00:00,4298,drift,Global
2016-01-05 18:00:00,4362,warning,Global
2016-01-06 02:00:00,4698,drift,Global
2016-01-06 05:00:00,4730,warning,Global
2016-01-06 06:00:00,28498,drift,Manhattan
2016-01-06 07:00:00,28594,warning,Manhattan
2016-01-06 15:00:00,31498,drift,Manhattan
2016-01-06 15:00:00,31658,warning,Manhattan
2016-01-06 17:00:00,5098,drift,Global
2016-01-06 19:00:00,5162,warning,Global
2016-01-07 00:00:00,34498,drift,Manhattan
2016-01-07 01:00:00,34626,warning,Manhattan
2016-01-07 02:00:00,5498,drift,Global
2016-01-07 07:00:00,5594,warning,Global
2016-01-07 14:00:00,37498,drift,Manhattan
2016-01-07 14:00:00,37626,warning,Manhattan
2016-01-07 17:00:00,5898,drift,Global
2016-01-07 19:00:00,5994,warning,Global
2016-01-07 22:00:00,40498,drift,Manhattan
2016-01-07 22:00:00,40658,warning,Manhattan
2016-01-07 23:00:00,6298,drift,Global
2016-01-08 01:00:00,6362,warning,Global
2016-01-08 11:00:00,43498,drift,Manhattan
2016-01-08 12:00:00,43722,warning,Manhattan
2016-01-08 14:00:00,6698,drift,Global
2016-01-08 15:00:00,6762,warning,Global
2016-01-08 19:00:00,46498,drift,Manhattan
2016-01-08 19:00:00,46626,warning,Manhattan
2016-01-08 22:00:00,7098,drift,Global
2016-01-08 23:00:00,7162,warning,Global
2016-01-09 05:00:00,7498,drift,Global
2016-01-09 06:00:00,49498,drift,Manhattan
2016-01-09 07:00:00,7562,warning,Global
2016-01-09 07:00:00,49626,warning,Manhattan
2016-01-09 16:00:00,52498,drift,Manhattan
2016-01-09 16:00:00,52594,warning,Manhattan
2016-01-09 20:00:00,7898,drift,Global
2016-01-09 22:00:00,7994,warning,Global
2016-01-09 23:00:00,55498,drift,Manhattan
2016-01-09 23:00:00,55594,warning,Manhattan
2016-01-10 02:00:00,8298,drift,Global
2016-01-10 04:00:00,8394,warning,Global
2016-01-10 12:00:00,58498,drift,Manhattan
2016-01-10 12:00:00,58626,warning,Manhattan
2016-01-10 14:00:00,8698,drift,Global
2016-01-10 16:00:00,8762,warning,Global
2016-01-10 21:00:00,61498,drift,Manhattan
2016-01-10 22:00:00,61530,warning,Manhattan
2016-01-10 22:00:00,9098,drift,Global
2016-01-11 01:00:00,9194,warning,Global
2016-01-11 13:00:00,9498,drift,Global
2016-01-11 13:00:00,64498,drift,Manhattan
2016-01-11 13:00:00,64594,warning,Manhattan
2016-01-11 14:00:00,9562,warning,Global
2016-01-11 21:00:00,67498,drift,Manhattan
2016-01-11 21:00:00,9898,drift,Global
2016-01-11 21:00:00,67594,warning,Manhattan
2016-01-11 22:00:00,9962,warning,Global
2016-01-12 11:00:00,70498,drift,Manhattan
2016-01-12 12:00:00,10298,drift,Global
2016-01-12 12:00:00,70626,warning,Manhattan
2016-01-12 14:00:00,10362,warning,Global
2016-01-12 20:00:00,73498,drift,Manhattan
2016-01-12 20:00:00,73754,warning,Manhattan
2016-01-12 21:00:00,10698,drift,Global
2016-01-12 22:00:00,10762,warning,Global
2016-01-13 08:00:00,1562,warning,Queens
2016-01-13 09:00:00,76498,drift,Manhattan
2016-01-13 09:00:00,11098,drift,Global
2016-01-13 10:00:00,76690,warning,Manhattan
2016-01-13 14:00:00,1588,drift,Queens
2016-01-13 14:00:00,11258,warning,Global
2016-01-13 17:00:00,79498,drift,Manhattan
2016-01-13 18:00:00,79626,warning,Manhattan
2016-01-13 20:00:00,11498,drift,Global
2016-01-13 20:00:00,11562,warning,Global
2016-01-14 05:00:00,11898,drift,Global
2016-01-14 05:00:00,82498,drift,Manhattan
2016-01-14 06:00:00,82594,warning,Manhattan
2016-01-14 08:00:00,11994,warning,Global
2016-01-14 14:00:00,85498,drift,Manhattan
2016-01-14 14:00:00,85594,warning,Manhattan
2016-01-14 16:00:00,12298,drift,Global
2016-01-14 17:00:00,12362,warning,Global
2016-01-14 19:00:00,1716,warning,Queens
2016-01-14 21:00:00,88498,drift,Manhattan
2016-01-14 22:00:00,88530,warning,Manhattan
2016-01-14 22:00:00,12698,drift,Global
2016-01-14 23:00:00,12794,warning,Global
2016-01-15 08:00:00,13098,drift,Global
2016-01-15 10:00:00,13162,warning,Global
2016-01-15 11:00:00,91498,drift,Manhattan
2016-01-15 11:00:00,91626,warning,Manhattan
2016-01-15 17:00:00,13498,drift,Global
2016-01-15 18:00:00,1828,drift,Queens
2016-01-15 19:00:00,94498,drift,Manhattan
2016-01-15 19:00:00,13594,warning,Global
2016-01-15 19:00:00,94658,warning,Manhattan
2016-01-15 23:00:00,13898,drift,Global
2016-01-16 00:00:00,13962,warning,Global
2016-01-16 03:00:00,97498,drift,Manhattan
2016-01-16 04:00:00,97594,warning,Manhattan
2016-01-16 07:00:00,14298,drift,Global
2016-01-16 09:00:00,1924,warning,Queens
2016-01-16 11:00:00,14394,warning,Global
2016-01-16 15:00:00,100498,drift,Manhattan
2016-01-16 16:00:00,100562,warning,Manhattan
2016-01-16 19:00:00,14698,drift,Global
2016-01-16 21:00:00,14762,warning,Global
2016-01-16 21:00:00,1978,drift,Queens
2016-01-16 22:00:00,103498,drift,Manhattan
2016-01-16 23:00:00,103658,warning,Manhattan
2016-01-17 02:00:00,15098,drift,Global
2016-01-17 03:00:00,15162,warning,Global
2016-01-17 11:00:00,2042,warning,Queens
2016-01-17 11:00:00,106498,drift,Manhattan
2016-01-17 12:00:00,106562,warning,Manhattan
2016-01-17 13:00:00,15498,drift,Global
2016-01-17 15:00:00,15562,warning,Global
2016-01-17 15:00:00,2068,drift,Queens
2016-01-17 20:00:00,109498,drift,Manhattan
2016-01-17 20:00:00,109562,warning,Manhattan
2016-01-17 22:00:00,15898,drift,Global
2016-01-17 23:00:00,15962,warning,Global
2016-01-18 11:00:00,16298,drift,Global
2016-01-18 12:00:00,112498,drift,Manhattan
2016-01-18 12:00:00,112594,warning,Manhattan
2016-01-18 15:00:00,16458,warning,Global
2016-01-18 15:00:00,2188,drift,Queens
2016-01-18 19:00:00,115498,drift,Manhattan
2016-01-18 20:00:00,16698,drift,Global
2016-01-18 20:00:00,115626,warning,Manhattan
2016-01-18 22:00:00,16826,warning,Global
2016-01-19 06:00:00,17098,drift,Global
2016-01-19 08:00:00,17162,warning,Global
2016-01-19 10:00:00,2284,warning,Queens
2016-01-19 10:00:00,118498,drift,Manhattan
2016-01-19 10:00:00,118594,warning,Manhattan
2016-01-19 17:00:00,17498,drift,Global
2016-01-19 18:00:00,17562,warning,Global
2016-01-19 18:00:00,121498,drift,Manhattan
2016-01-19 18:00:00,121530,warning,Manhattan
2016-01-19 23:00:00,1638,drift,Brooklyn
2016-01-20 00:00:00,17898,drift,Global
2016-01-20 00:00:00,2368,drift,Queens
2016-01-20 03:00:00,17962,warning,Global
2016-01-20 08:00:00,124498,drift,Manhattan
2016-01-20 08:00:00,124754,warning,Manhattan
2016-01-20 14:00:00,18298,drift,Global
2016-01-20 16:00:00,18362,warning,Global
2016-01-20 17:00:00,127498,drift,Manhattan
2016-01-20 17:00:00,127562,warning,Manhattan
2016-01-20 21:00:00,18698,drift,Global
2016-01-20 23:00:00,18794,warning,Global
2016-01-21 01:00:00,130498,drift,Manhattan
2016-01-21 05:00:00,130658,warning,Manhattan
2016-01-21 09:00:00,19098,drift,Global
2016-01-21 11:00:00,19162,warning,Global
2016-01-21 14:00:00,133498,drift,Manhattan
2016-01-21 14:00:00,133594,warning,Manhattan
2016-01-21 16:00:00,2496,warning,Queens
2016-01-21 19:00:00,19498,drift,Global
2016-01-21 20:00:00,19562,warning,Global
2016-01-21 20:00:00,2518,drift,Queens
2016-01-21 21:00:00,136498,drift,Manhattan
2016-01-21 21:00:00,136626,warning,Manhattan
2016-01-22 00:00:00,19898,drift,Global
2016-01-22 01:00:00,19962,warning,Global
2016-01-22 10:00:00,139498,drift,Manhattan
2016-01-22 10:00:00,139626,warning,Manhattan
2016-01-22 13:00:00,20298,drift,Global
2016-01-22 15:00:00,20394,warning,Global
2016-01-22 18:00:00,142498,drift,Manhattan
2016-01-22 18:00:00,142658,warning,Manhattan
2016-01-22 21:00:00,20698,drift,Global
2016-01-22 23:00:00,2646,warning,Queens
2016-01-22 23:00:00,20794,warning,Global
2016-01-23 00:00:00,1858,drift,Brooklyn
2016-01-23 01:00:00,145498,drift,Manhattan
2016-01-23 01:00:00,2668,drift,Queens
2016-01-23 01:00:00,145626,warning,Manhattan
2016-01-24 08:00:00,21098,drift,Global
2016-01-24 13:00:00,1922,warning,Brooklyn
2016-01-24 14:00:00,21162,warning,Global
2016-01-24 14:00:00,2732,warning,Queens
2016-01-24 19:00:00,148498,drift,Manhattan
2016-01-24 19:00:00,148530,warning,Manhattan
2016-01-25 01:00:00,21498,drift,Global
2016-01-25 02:00:00,1978,drift,Brooklyn
2016-01-25 03:00:00,2818,drift,Queens
2016-01-25 04:00:00,21562,warning,Global
2016-01-25 09:00:00,2882,warning,Queens
2016-01-25 14:00:00,21898,drift,Global
2016-01-25 15:00:00,151498,drift,Manhattan
2016-01-25 15:00:00,151722,warning,Manhattan
2016-01-25 16:00:00,21962,warning,Global
2016-01-25 16:00:00,2938,drift,Queens
2016-01-25 23:00:00,22298,drift,Global
2016-01-26 00:00:00,22362,warning,Global
2016-01-26 06:00:00,154498,drift,Manhattan
2016-01-26 06:00:00,154594,warning,Manhattan
2016-01-26 10:00:00,22698,drift,Global
2016-01-26 12:00:00,3066,warning,Queens
2016-01-26 13:00:00,22762,warning,Global
2016-01-26 16:00:00,3088,drift,Queens
2016-01-26 17:00:00,157498,drift,Manhattan
2016-01-26 17:00:00,157530,warning,Manhattan
2016-01-26 20:00:00,23098,drift,Global
2016-01-26 21:00:00,23162,warning,Global
2016-01-26 22:00:00,2106,warning,Brooklyn
2016-01-27 06:00:00,23498,drift,Global
2016-01-27 07:00:00,160498,drift,Manhattan
2016-01-27 07:00:00,160626,warning,Manhattan
2016-01-27 09:00:00,2138,drift,Brooklyn
2016-01-27 11:00:00,23626,warning,Global
2016-01-27 16:00:00,163498,drift,Manhattan
2016-01-27 16:00:00,163594,warning,Manhattan
2016-01-27 19:00:00,23898,drift,Global
2016-01-27 20:00:00,23962,warning,Global
2016-01-27 20:00:00,3216,warning,Queens
2016-01-27 23:00:00,3238,drift,Queens
2016-01-28 00:00:00,166498,drift,Manhattan
2016-01-28 01:00:00,24298,drift,Global
2016-01-28 01:00:00,166658,warning,Manhattan
2016-01-28 05:00:00,24394,warning,Global
2016-01-28 14:00:00,169498,drift,Manhattan
2016-01-28 14:00:00,24698,drift,Global
2016-01-28 14:00:00,169626,warning,Manhattan
2016-01-28 15:00:00,24762,warning,Global
2016-01-28 21:00:00,25098,drift,Global
2016-01-28 22:00:00,172498,drift,Manhattan
2016-01-28 22:00:00,172594,warning,Manhattan
2016-01-28 22:00:00,3334,warning,Queens
2016-01-28 22:00:00,25162,warning,Global
2016-01-29 07:00:00,25498,drift,Global
2016-01-29 10:00:00,175498,drift,Manhattan
2016-01-29 11:00:00,25594,warning,Global
2016-01-29 11:00:00,175626,warning,Manhattan
2016-01-29 18:00:00,3418,drift,Queens
2016-01-29 18:00:00,25898,drift,Global
2016-01-29 19:00:00,178498,drift,Manhattan
2016-01-29 19:00:00,178626,warning,Manhattan
2016-01-29 19:00:00,25962,warning,Global
2016-01-29 22:00:00,2362,warning,Brooklyn
2016-01-30 00:00:00,26298,drift,Global
2016-01-30 01:00:00,26394,warning,Global
2016-01-30 02:00:00,181498,drift,Manhattan
2016-01-30 02:00:00,2418,drift,Brooklyn
2016-01-30 03:00:00,181882,warning,Manhattan
2016-01-30 03:00:00,3482,warning,Queens
2016-01-30 08:00:00,26698,drift,Global
