date,instance,distance,daily_centroid,district,event_type
2008-02-07,14531,0.5342577402410464,"[ 1.32632009e+03  1.42856776e+03  8.26214953e+01  2.35892523e+02
  7.41121495e+00  3.56782710e+02  4.14593759e+01 -7.39171992e+01
  4.14674291e+01 -7.38646194e+01  0.00000000e+00  1.00000000e+00]",Northeast,centroid
2008-02-15,406398,0.5755801090025596,"[1321.44640295 1517.30026645  167.55708137 1014.40797295    9.23047756
  406.44537815   37.45998639  -88.90850828   37.45231172  -88.86333639
    0.            0.        ]",Global,centroid
2008-02-15,195163,0.5805882112491908,"[ 1.36658759e+03  1.48436161e+03  9.91082395e+01  5.15172300e+02
  9.12370223e+00  2.87096532e+02  3.69062730e+01 -1.20238233e+02
  3.69054093e+01 -1.20232941e+02  0.00000000e+00  1.00000000e+00]",West,centroid
2008-02-15,54810,0.5679762548999917,"[ 1.34720254e+03  1.46802167e+03  7.62002990e+01  2.90484305e+02
  1.15919283e+01  3.28643498e+02  4.20715358e+01 -8.84974422e+01
  4.20766215e+01 -8.85075263e+01  0.00000000e+00  1.00000000e+00]",Midwest,centroid
2008-02-15,191230,0.5636873769236869,"[ 1.32463117e+03  1.47105158e+03  9.81405800e+01  4.85520257e+02
  7.84303741e+00  3.36432367e+02  3.28391709e+01 -8.76205187e+01
  3.28398304e+01 -8.76159400e+01  0.00000000e+00  1.00000000e+00]",South,centroid
2008-02-21,461027,0.5750345938043387,"[1315.02769819 1515.21988751  168.25119389 1017.8129046     8.93505253
  413.8393293    37.46899723  -88.73749041   37.44095197  -88.87199846
    0.            0.        ]",Global,centroid
2008-02-21,61888,0.5725133320300949,"[ 1.35015036e+03  1.47036436e+03  7.58385044e+01  2.86558473e+02
  1.15544948e+01  3.28927605e+02  4.21908684e+01 -8.84590444e+01
  4.21807039e+01 -8.84779867e+01  0.00000000e+00  1.00000000e+00]",Midwest,centroid
2008-02-21,216121,0.6140234084656441,"[ 1.31565091e+03  1.46337227e+03  9.83112233e+01  4.87353913e+02
  1.37714023e+01  3.54346110e+02  3.28072717e+01 -8.76378157e+01
  3.27889279e+01 -8.76851975e+01  0.00000000e+00  1.00000000e+00]",South,centroid
2008-02-21,19698,0.5343724096297512,"[ 1.32509513e+03  1.42635499e+03  8.25127610e+01  2.36941995e+02
  8.04872390e+00  3.53714617e+02  4.14782221e+01 -7.39151426e+01
  4.14662528e+01 -7.38655165e+01  0.00000000e+00  1.00000000e+00]",Northeast,centroid
2008-02-22,225520,0.5888602392576631,"[ 1.36236396e+03  1.48114987e+03  9.93211418e+01  5.16616860e+02
  1.41126227e+01  2.92229929e+02  3.68862352e+01 -1.20225777e+02
  3.68865557e+01 -1.20212676e+02  0.00000000e+00  1.00000000e+00]",West,centroid
2008-02-27,21718,0.5369435126305747,"[ 1.33614894e+03  1.43722695e+03  8.26382979e+01  2.36981087e+02
  7.78486998e+00  3.38647754e+02  4.14445582e+01 -7.39123145e+01
  4.14664801e+01 -7.38775115e+01  0.00000000e+00  1.00000000e+00]",Northeast,centroid
2008-02-29,534134,0.5769747998868808,"[1322.04240723 1518.02463361  167.81051866 1015.27450369    9.74659599
  407.77434778   37.48322403  -88.76654582   37.46171733  -88.78384693
    0.            0.        ]",Global,centroid
2008-02-29,255289,0.5849878790461185,"[ 1.36741855e+03  1.48499494e+03  9.88373217e+01  5.13343764e+02
  8.08053382e+00  2.85983203e+02  3.69277356e+01 -1.20329613e+02
  3.69129082e+01 -1.20341237e+02  0.00000000e+00  1.00000000e+00]",West,centroid
2008-02-29,250462,0.5644964069890838,"[ 1.32311561e+03  1.46918627e+03  9.80384615e+01  4.85102639e+02
  6.73457066e+00  3.38519902e+02  3.28482735e+01 -8.76586676e+01
  3.28415049e+01 -8.76630676e+01  0.00000000e+00  1.00000000e+00]",South,centroid
2008-03-06,589043,0.5839019908893203,"[1312.92396607 1507.29681866  167.5902439  1013.93117709    6.33520679
  414.10042418   37.52353162  -88.49610541   37.5464891   -88.45121698
    0.            0.        ]",Global,centroid
2008-03-06,79099,0.5877686646044599,"[ 1.34101016e+03  1.46099637e+03  7.54433962e+01  2.87375907e+02
  8.28301887e+00  3.14444122e+02  4.20837782e+01 -8.84456812e+01
  4.20800526e+01 -8.84544262e+01  0.00000000e+00  1.00000000e+00]",Midwest,centroid
2008-03-06,275506,0.5940636911372441,"[ 1.29137476e+03  1.43858835e+03  9.78009709e+01  4.82485680e+02
  8.60024272e+00  3.60495631e+02  3.28610859e+01 -8.69458734e+01
  3.28817665e+01 -8.70230700e+01  0.00000000e+00  1.00000000e+00]",South,centroid
2008-03-07,284663,0.6120516566531139,"[ 1.36623841e+03  1.48584167e+03  1.00108077e+02  5.18727857e+02
  6.72303809e+00  2.87802891e+02  3.74045003e+01 -1.19248339e+02
  3.73988954e+01 -1.19271838e+02  0.00000000e+00  1.00000000e+00]",West,centroid
2008-03-09,25748,1.980158923203836,"[ 1.42103378e+03  1.49917230e+03  8.24628378e+01  2.40064189e+02
  2.08074324e+01  4.65993243e+02  4.14981015e+01 -7.38547940e+01
  4.15334031e+01 -7.39462108e+01  1.00000000e+00  1.00000000e+00]",Northeast,centroid
2008-03-13,305425,0.5716386356727085,"[ 1.32535122e+03  1.47069630e+03  9.79310269e+01  4.85261660e+02
  5.16509744e+00  3.34304576e+02  3.28373132e+01 -8.76088727e+01
  3.28294740e+01 -8.76286078e+01  0.00000000e+00  1.00000000e+00]",South,centroid
2008-03-14,663193,0.5769068659987137,"[1320.49233269 1515.60546359  167.1777191  1013.18137504    7.50370671
  403.50208185   37.46771593  -88.85607      37.45979015  -88.85515347
    0.            0.        ]",Global,centroid
