date,instance,distance,daily_centroid,district,event_type
2025-04-20,40634,4.341300232531346,"[52.22880465 21.04802331 52.23140393 21.04710381 17.17948345 13.00564972
  1.          0.20056497  1.          0.47457627  0.22316384  0.30225989
  0.          0.        ]",Global,centroid
2025-04-20,26352,4.322384493546004,"[52.20655258 20.98881388 52.20210675 20.9952682  11.01509426 13.32330827
  1.          0.18045113  1.          0.54511278  0.19548872  0.2593985
  0.          1.        ]",Left,centroid
2025-04-21,15890,3.7832422344390717,"[52.2589751  21.10517233 52.25338593 21.09863254 12.98827105 12.69421488
  0.          0.59504132  1.          0.47107438  0.20661157  0.32231405
  0.          1.        ]",Right,centroid
2025-05-21,20612,0.8694964368621063,"[52.25327516 21.10265171 52.25447522 21.10052524 13.44398411 12.6137931
  0.          0.48965517  0.          0.51724138  0.23448276  0.24827586
  0.          1.        ]",Right,centroid
2025-05-21,53479,0.8451338831281663,"[52.23017849 21.03786501 52.23420191 21.0379007  17.00931403 12.88321168
  0.          0.45012165  0.          0.51094891  0.20681265  0.28223844
  0.          0.        ]",Global,centroid
2025-05-22,34712,0.8408481443538574,"[52.20766094 20.98808986 52.20767114 20.9880153  10.40760412 12.4906367
  0.          0.44569288  0.          0.49438202  0.20224719  0.30337079
  0.          1.        ]",Left,centroid
2025-07-25,81871,0.9339351642224158,"[52.23292698 21.0443302  52.23247498 21.04199328 17.04587879 13.00847458
  0.          0.47033898  0.          0.62288136  0.22245763  0.15466102
  0.          0.        ]",Global,centroid
2025-07-25,52814,0.947980168779357,"[52.20449037 20.98822608 52.20666913 20.98868696 10.56119051 13.15517241
  0.          0.47988506  0.          0.64367816  0.20114943  0.15517241
  0.          1.        ]",Left,centroid
2025-11-11,126079,4.1027192948838875,"[52.2300549  21.03867746 52.2315091  21.0461078  17.24902591 12.34217507
  0.          0.50132626  1.          0.36870027  0.18302387  0.44827586
  0.          0.        ]",Global,centroid
2025-11-11,81643,4.078353228275252,"[52.20827089 20.99216392 52.20323928 20.99049793 11.30064581 13.37668161
  0.          0.47085202  1.          0.33183857  0.21524664  0.4529148
  0.          1.        ]",Left,centroid
2025-11-11,48531,3.790051378899513,"[52.2619237  21.08639251 52.25829625 21.09625878 12.41571351 13.79508197
  0.          0.46721311  1.          0.37704918  0.18852459  0.43442623
  0.          1.        ]",Right,centroid
2025-12-25,55402,3.735862391971328,"[52.25827852 21.09871411 52.26080399 21.09814654 13.11526583 12.51875
  0.          0.45        1.          0.4625      0.14375     0.25
  0.14375     1.        ]",Right,centroid
2025-12-25,144161,4.04831514750167,"[52.22924934 21.03890354 52.23186243 21.04542344 16.9931667  13.25473684
  0.          0.48842105  1.          0.45473684  0.14947368  0.24842105
  0.14736842  0.        ]",Global,centroid
2025-12-25,93318,4.0205882054277025,"[52.20723744 20.99500253 52.20561424 20.99245405 10.89275167 12.69758065
  0.          0.4516129   1.          0.40725806  0.14919355  0.25806452
  0.18548387  1.        ]",Left,centroid
